Date,10Y_Treasury_yield_percent,Baa_minus_10Y_spread_percent
2014-01-31,2.67,2.4
2014-02-28,2.66,2.35
2014-03-31,2.73,2.26
2014-04-30,2.67,2.16
2014-05-31,2.48,2.22
2014-06-30,2.53,2.18
2014-07-31,2.58,2.17
2014-08-31,2.35,2.23
2014-09-30,2.52,2.29
2014-10-31,2.35,2.39
2014-11-30,2.18,2.52
2014-12-31,2.17,2.51
2015-01-31,1.68,2.61
2015-02-28,2.0,2.46
2015-03-31,1.94,2.55
2015-04-30,2.05,2.6
2015-05-31,2.12,2.72
2015-06-30,2.35,2.83
2015-07-31,2.2,2.94
2015-08-31,2.21,3.15
2015-09-30,2.06,3.29
2015-10-31,2.16,3.19
2015-11-30,2.21,3.2
2015-12-31,2.27,3.23
2016-01-31,1.94,3.48
2016-02-29,1.74,3.55
2016-03-31,1.78,3.12
2016-04-30,1.83,2.86
2016-05-31,1.84,2.84
2016-06-30,1.49,2.92
2016-07-31,1.46,2.71
2016-08-31,1.58,2.61
2016-09-30,1.6,2.69
2016-10-31,1.84,2.61
2016-11-30,2.37,2.45
2016-12-31,2.45,2.28
2017-01-31,2.45,2.23
2017-02-28,2.36,2.19
2017-03-31,2.4,2.24
2017-04-30,2.29,2.28
2017-05-31,2.21,2.23
2017-06-30,2.31,2.09
2017-07-31,2.3,2.06
2017-08-31,2.12,2.14
2017-09-30,2.33,2.0
2017-10-31,2.38,1.91
2017-11-30,2.42,1.88
2017-12-31,2.4,1.77
2018-01-31,2.72,1.56
2018-02-28,2.87,1.68
2018-03-31,2.74,1.85
2018-04-30,2.95,1.79
2018-05-31,2.83,1.89
2018-06-30,2.85,1.99
2018-07-31,2.96,1.83
2018-08-31,2.86,1.92
2018-09-30,3.05,1.84
2018-10-31,3.15,2.03
2018-11-30,3.01,2.27
2018-12-31,2.69,2.45
2019-01-31,2.63,2.38
2019-02-28,2.73,2.22
2019-03-31,2.41,2.26
2019-04-30,2.51,2.14
2019-05-31,2.14,2.37
2019-06-30,2.0,2.31
2019-07-31,2.02,2.13
2019-08-31,1.5,2.26
2019-09-30,1.68,2.2
2019-10-31,1.69,2.18
2019-11-30,1.78,2.08
2019-12-31,1.92,1.98
2020-01-31,1.51,2.13
2020-02-29,1.13,2.38
2020-03-31,0.7,3.93
2020-04-30,0.64,3.23
2020-05-31,0.65,3.08
2020-06-30,0.66,2.93
2020-07-31,0.55,2.6
2020-08-31,0.72,2.67
2020-09-30,0.69,2.75
2020-10-31,0.88,2.61
2020-11-30,0.84,2.29
2020-12-31,0.93,2.18
2021-01-31,1.11,2.17
2021-02-28,1.44,2.12
2021-03-31,1.74,2.03
2021-04-30,1.65,1.96
2021-05-31,1.58,1.99
2021-06-30,1.45,1.87
2021-07-31,1.24,1.95
2021-08-31,1.3,1.94
2021-09-30,1.52,1.85
2021-10-31,1.55,1.69
2021-11-30,1.43,1.81
2021-12-31,1.52,1.85
2022-01-31,1.79,1.93
2022-02-28,1.83,2.34
2022-03-31,2.32,1.93
2022-04-30,2.89,2.05
2022-05-31,2.85,2.18
2022-06-30,2.98,2.31
2022-07-31,2.67,2.36
2022-08-31,3.15,2.18
2022-09-30,3.83,2.24
2022-10-31,4.1,2.28
2022-11-30,3.68,2.15
2022-12-31,3.88,1.99
2023-01-31,3.52,1.9
2023-02-28,3.92,1.9
2023-03-31,3.48,2.11
2023-04-30,3.44,2.08
2023-05-31,3.64,2.16
2023-06-30,3.81,1.88
2023-07-31,3.97,1.77
2023-08-31,4.09,1.83
2023-09-30,4.59,1.78
2023-10-31,4.88,1.85
2023-11-30,4.37,1.67
2023-12-31,3.88,1.61
2024-01-31,3.99,1.61
2024-02-29,4.25,1.55
2024-03-31,4.2,1.5
2024-04-30,4.69,1.44
2024-05-31,4.51,1.46
2024-06-30,4.36,1.55
2024-07-31,4.09,1.68
2024-08-31,3.91,1.69
2024-09-30,3.81,1.63
2024-10-31,4.28,1.46
2024-11-30,4.18,1.44
2024-12-31,4.58,1.42
