Ticker,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31,2022-12-31,2023-12-31,2024-12-31
A,10514151646.95784,10596454629.272831,10963618525.713852,12077820712.01007,17913566432.485703,18211895952.86577,23227371757.302483,32469762100.800903,43999650407.94147,41569677647.03586,38900276455.44183,37848834037.7448
AAPL,257129787040.4148,361582110801.8646,350685097227.30444,394452117745.54254,585620705560.8788,554054615494.0796,1046929840059.4712,1908622934711.3342,2569926510036.804,1891358077560.0127,2818275481549.0723,3683634142590.3623
ABBV,57758487641.101105,73883687988.00845,69080694309.29126,75845061259.90308,121408895635.06879,120247620158.40631,122013036115.508,155833010066.26593,206363433655.79138,255906593751.96094,255305608544.9889,303453787182.73157
ABT,52877012796.13989,63496639366.86784,64685142263.59571,56715526982.24437,86223608950.98544,111281748432.43385,135853019157.90881,173947185994.43616,227050333600.24237,180092008581.68097,184163217881.5426,193026274940.74652
ACGL,6860778334.859016,6792963726.584393,8017075954.459824,9918186119.296963,10433117745.539474,9213602942.380775,14789350232.337791,12437673770.600563,15327270365.472137,21647828125.703224,25609815016.257202,33488504820.97673
ACN,41545586974.562805,46290544657.346924,55331186731.08673,63272160058.08353,84364542335.31866,79109717803.04434,119624656005.81299,150775374872.24744,242243855377.71643,158056234686.43652,211155381287.15442,215087835522.03845
ADBE,25065768447.113037,30432218722.53418,39323285021.97266,43094868722.53418,73355466299.43848,94704066299.43848,138058464978.02734,209350229956.0547,237371314978.02734,140871457489.01367,249736749780.27344,186143044934.08203
ADI,19518200181.693832,21889614775.847656,22411872657.92726,30246731766.15918,37899541615.2814,37278321765.708405,52677815803.32202,66834063177.53534,80845154572.34906,76873809484.40985,94828651542.98773,103188305779.04767
ADM,14790555435.942326,18092947118.32636,13081149104.350166,16794920828.518372,15203530386.133518,16005642822.129135,18743024452.115726,21074820874.196987,28941107126.25227,40511700146.032715,32239984510.456696,23366623593.051167
ADP,22196849499.248474,26713745118.80951,27809208390.55078,34564090549.586975,40281400236.489624,46023426372.667786,61076654262.67053,64653744698.34338,92197243544.93481,91010724380.35071,90783993386.60962,116575759404.85986
ADSK,10718159934.997559,12792780292.510986,12978090065.002441,15764130455.01709,22328790390.01465,27393930130.004883,39076981430.05371,65037419219.9707,59893470520.01953,39803308959.96094,51861239089.96582,62956411560.05859
AEE,6771268532.441849,8988847236.872452,8779382488.64946,11033865530.660706,12791327165.910278,14581240679.166595,17616367318.724945,18366231677.19214,21505610877.721344,22052350212.559296,18509632863.014374,23593518275.14554
AEP,16246747142.855072,21940814123.47744,21858168667.106438,24464719648.923225,29590272112.859573,31183521831.60553,40700580915.79491,37033415960.42885,40988943553.15842,45243746145.55115,40277680016.277695,47600665634.014206
AES,6784481803.114334,6530463548.673935,4688551401.8218,5925678651.921112,5766312985.68425,8016361064.899246,11396015962.77649,13919914293.165253,14747536481.889496,17945982129.428375,12405008355.993805,8634687842.854156
AFL,13169870663.58121,12346021302.886723,12412211318.05473,14783003865.812565,19073408819.57483,20256507856.47471,24014261728.832714,20748350492.29224,27916643563.40975,35289738610.1128,41417115418.7119,53049015914.8659
AIG,21067229402.29299,23329608416.947174,26164033472.524002,28195858084.31337,26260375165.576385,17832842032.365997,23821256506.09812,18322524426.587555,28202053625.39972,32084066462.54493,35224944386.7733,38659925263.86647
AIZ,2639647262.586212,2765729605.4208374,3317254554.0542603,3920759974.853592,4351378352.106705,3951947188.3052063,5919298190.223236,6280068488.598633,7313498795.938721,5972373728.164139,8212945169.297333,10557448898.121338
AJG,9548842666.70227,9880211478.08075,8878476639.194489,11639840623.35968,14554512325.706482,17346970851.44043,22860717541.389465,30204442805.404663,41989302469.329834,47211939359.28345,56895642268.90564,72453352026.06201
AKAM,6787561925.564186,9057755189.807442,7571627576.974651,9592934047.064186,9356995146.192558,8787288939.385117,12427078776.922325,15104410925.300697,16837987470.192558,12127839918.141861,17026450579.42907,13760710138.57093
ALB,6267230576.103821,6046553974.330597,5763299370.657196,9001303519.202118,13521335521.395416,8262968582.664185,7991784370.322876,16413936289.709473,26222125085.747986,24484157550.588684,16454141594.091492,9955410394.705963
ALGN,4099794670.5072784,4011542209.5018196,4724737061.268196,6897326822.282753,15942131564.220886,15026600927.337341,20021119217.8981,38341762678.44177,47152661188.58734,15132073507.572784,19659498630.0,14960591063.315506
ALL,11083360918.820297,14545073390.172775,13098331233.034012,15943808357.747269,22902418142.22574,18431839952.692474,25587320940.669983,25557449711.764526,28078577837.733673,33237909262.392517,35355009152.509094,49711842091.927
ALLE,3353589156.613735,4233825301.6486435,5065350461.026718,4953745281.580112,6208154653.719505,6281110369.478401,9917226524.76033,9380728635.11451,10793095500.611237,8714571733.905067,10659311192.839386,11155601720.539703
AMAT,12046869119.741053,17310796458.061,13239924299.837015,23262855966.347885,37188298939.4202,24201409746.40129,45947621650.40463,65838352679.7555,120903446378.71945,75513146828.43846,126841760717.5677,128273920459.11218
AMCR,12941091681.430702,16250564409.381136,14301321597.702576,16419569899.713272,19284897713.650276,15846758381.208014,19504463299.5453,22121755617.025738,23488227669.883522,24240335233.28654,20614922997.57267,21153133640.82171
AMD,6300520573.485432,4346871036.009712,4672479033.485432,18461991312.019424,16736266596.466007,30053645337.883453,74661986018.0777,149307688142.88345,234275167669.22302,105448245080.57266,239989609373.4662,196651139107.11655
AME,11208004524.309002,11269997216.152271,11552157312.243568,10555561168.309765,15831077421.842812,14898224138.815422,22089395712.112534,26990986106.001602,33015821480.98242,31586387364.123093,37526754469.236496,41283314536.26437
AMGN,43885398221.29905,62463548313.64419,64934244149.94312,60027813952.79546,73394991049.67935,84575276503.63399,107918975604.39134,105772447827.06706,106697049441.8583,128497308270.94826,145798604477.2857,135925204447.00516
AMP,8301900757.673653,9731837287.218727,7995458345.816025,8615278917.835304,13474085672.777481,8512039400.591629,13956575593.119736,16722119640.017807,26407229759.587463,27721110699.831116,34370704984.813385,48840143192.68799
AMT,28520116459.132866,35867981156.65011,35868331180.82807,39894337849.163734,54940441446.33944,62260314924.64548,92061880614.32768,91617907089.65886,121747538297.65005,90497129671.82051,95357772564.18484,83758728501.643
AMZN,213157570796.6813,165885426135.09375,361270488345.5249,400813611398.51245,625094338415.7,802819220378.5127,987690419418.8999,1740864225096.4873,1782240691812.5247,897978144924.0,1624271446810.5002,2345326484128.5
AON,16050573619.866257,18346279094.771538,18053520970.531044,22115366532.77523,26867058988.986053,29538827385.474243,42735346278.2254,43746371119.71832,62727959777.49817,63112184112.76138,61657179678.92059,76732781670.30884
AOS,2531224925.3232937,2680185203.133705,3681240912.57922,4604236951.631161,6021473662.754196,4254247927.88673,4834905952.53495,5679163327.090954,9045675336.413452,6144340024.218647,9012353592.71988,7577152946.545967
APD,17318348466.50123,22876145150.012444,21129861603.186447,25874442760.914116,30283440328.37439,30362360415.65277,45548849286.60603,54119045672.70337,61562878242.99582,63972637692.26907,58245191351.35263,62955955679.63516
APH,12211198554.659744,14869704617.249943,14573337723.12778,18927808823.87846,24948253398.886253,23245754701.097595,31360237770.611473,38287334139.743774,51665985721.06511,45488867560.26553,59817840343.07791,84524052996.09573
APO,9664860384.846153,8121724661.790768,5738695595.508456,7879585044.251515,14600330950.08336,11383285965.653578,23502342742.55341,25382029412.868977,38897651618.344185,35168173547.41461,52554307670.225876,94532305705.66873
APTV,10090887227.339512,12386535615.437935,14783416000.847542,11822784181.558563,18006880253.10887,13130455985.083748,20469002205.67489,28152985008.461533,35642298185.02797,20123474952.950172,19386645018.688812,13068482678.366695
ARE,7315236097.456455,10591153207.68615,11152288769.50431,14158312424.883385,17124556728.417892,15587754405.527298,22452682412.109787,25432775452.17595,32576487240.759842,21948406706.0904,19949034431.393143,16071886614.641602
ATO,5464024450.007172,6912182865.461426,8040551851.406647,9684924671.189423,11467922707.64441,12660013834.278809,15589279481.953857,13604998087.331055,15339362416.878418,16816637401.56897,17853948411.311523,22023179598.031616
AVB,11369725583.978691,16228881632.737885,18828398545.67093,18669238187.72461,19395590699.012604,19589572921.71364,24310066995.715714,19381492996.74019,31430594955.35431,20767855636.791,24991127532.63794,30350023900.85472
AVGO,18605866255.39478,35949684674.02801,52499849738.446106,64913770573.051125,96193156324.26445,99677238997.38464,128635123441.6393,186366659133.5849,291635547684.1303,252936524374.49512,516456540628.0912,1087104482491.3853
AVY,3084925211.0559616,3276599176.7056656,4055141570.38945,4646229423.961174,7747679686.368057,6176818518.848862,9175308016.391098,11089729495.139923,15682290244.102203,13320311851.249756,15139717528.174591,14239279734.3833
AWK,6465451005.271759,8368501978.2229805,9613953994.69614,11880298898.595638,15326889635.860176,15528996573.688965,21397815060.159874,27148548895.27176,33889887043.183136,27826271011.462708,24576430216.263924,23708116060.73719
AXON,1253098209.1105862,2089549103.5576553,1364362029.3846893,1912789677.7788277,2091127349.0,3452332887.5,5782558852.153748,9668899302.653748,12388943162.0,13093613045.422485,20384939622.191223,46898068731.077515
AXP,52817665807.336174,54752223100.040184,41497002840.2484,45058340975.08869,61376859918.91096,59768691504.51743,79203886831.75444,78299490494.57712,107179971290.80397,98051530673.92644,126163438818.58488,202265369981.3415
AZO,7949414994.827087,10297447746.287476,12339938559.652039,13136310545.306213,11831977397.095825,13943827146.097961,19814658733.100098,19717023052.149902,34868546599.858154,41019139700.34155,43005581566.141846,53257786926.0
BA,88668263199.7771,86410280012.1004,98563978758.02124,109710390954.55957,213622618356.9723,238192806423.67273,246144233589.8181,162706034024.37817,153022425184.86548,144790589874.6491,198126487472.43274,134536897836.0
BAC,90035528375.07071,104202784529.96873,99226318670.43362,132336532811.487,179561137846.62753,152633115863.978,223134620462.41217,197177533657.1746,294995342381.7507,224718781522.50662,235563618649.56683,315309725935.70825
BALL,6161068367.581116,8199978916.448334,8814074704.15155,9162382225.827255,9325934327.340286,11438076626.434937,16222932970.355545,23554181017.898743,24524880211.31613,13186641456.856644,15052315750.237152,14607404882.414429
