,alpha,t_alpha,R2,n_obs,beta_MKT_excess,t_MKT_excess,beta_SMB_vw,t_SMB_vw,beta_HML_vw,t_HML_vw,beta_MOM,t_MOM
A,-0.0023116357961229872,-0.5426204274339246,0.562590133231603,131.0,1.122681958149415,11.188552749479378,1.0852830691224562,3.702682702775695,-0.1966763140749561,-1.2300404538110912,0.103427454723726,0.8121583437221804
AAPL,0.00808157282248237,1.6584480833563089,0.5419294848796994,131.0,1.2366502394317107,10.77440554250531,-0.42128584301843824,-1.256549485132459,-0.6329691284617993,-3.460820902036797,-0.10935618710730764,-0.7507191503563044
ABBV,0.005697692448640233,0.9263353199723293,0.17731738214239745,131.0,0.7253914016687462,5.007051587115267,0.049715120593610995,0.11747743587400306,0.2084285722702129,0.9028530720760548,0.1094994478536769,0.5955377485636204
ABT,-0.0004012144442090651,-0.10439797416331494,0.4641022967257393,131.0,0.8860781672811706,9.788766960196822,0.34894534298949187,1.3196831129557167,-0.08576501354287995,-0.5945881891746355,0.32079162197764066,2.7923295612574823
ACGL,0.011366975426102733,2.1577294691151354,0.29435042741173245,131.0,0.6820543792528009,5.496820000224776,0.3231652169050636,0.8916069056020254,0.8245384512500152,4.17016838224545,0.387712036734815,2.4620082341862726
ACN,-0.0005778550224893237,-0.16941550831718544,0.6594931251675777,131.0,1.1574650100352044,14.407299493068914,0.13006955694011252,0.5542512394196923,-0.3961065730308933,-3.0941183835806356,-0.00858069065730288,-0.08415591793360307
ADBE,0.0033678494193357064,0.6240666055009845,0.5152037228542081,131.0,1.3237253827768374,10.413977067021793,-0.6378645373874138,-1.7179221420328121,-0.5330035711244906,-2.631473513803084,0.09487789794390769,0.5881274872721641
ADI,0.0017108662242809017,0.3510177321313259,0.511693205000006,131.0,1.026733251541857,8.943573340665473,0.950270915454564,2.8337216079665235,-0.33519582567655376,-1.8323237510300485,-0.4498217185673065,-3.0873194500089003
ADM,-6.163185804722743e-05,-0.011932905625135312,0.3801683199689997,131.0,0.85873971367715,7.058995989176014,0.10015042340272146,0.2818321125154814,0.8256543383969112,4.25921750228768,0.17216443883219623,1.1150967280672943
ADSK,0.0005859517437260174,0.0893139452684241,0.4759907750369008,131.0,1.5028702536535505,9.725666059373031,0.3766728203579215,0.8344848336317623,-0.5048843463190998,-2.0504063343117203,-0.14874320477161454,-0.7584425721616522
AEE,0.0023263317089352994,0.5679777581311964,0.20836782604721849,131.0,0.41451728245588665,4.296776590162655,0.7962390652699641,2.825529925237782,0.11677130950325144,0.7596026050504715,0.20269187174193412,1.6554808718539833
