,alpha,t_alpha,R2,n_obs,beta_MKT_excess,t_MKT_excess,beta_TENY_innov,t_TENY_innov,beta_CREDIT_innov,t_CREDIT_innov
A,-0.0007755487337636965,-0.17695617076864362,0.5271595290586885,131.0,1.23155540154395,9.290589975721119,-1.936253485007393,-0.9244857490178383,3.0862447236843207,1.0259657566723273
AAPL,0.010573167633003951,2.0392101830475933,0.4703165315757244,131.0,1.3078161941918736,8.339428810621133,-1.9998781578130758,-0.8071268599919541,3.601279669102662,1.0119512917496365
ABBV,0.004208528900851243,0.694299843147778,0.1839380989902183,131.0,0.7841965286566571,4.277346078700605,4.057333482748413,1.4006797432719393,1.6943338571709858,0.407250502644778
ABT,0.0010136235990889813,0.2553642576676689,0.41610874492015015,131.0,0.8957388073310378,7.4610080611919,-1.2381630352335935,-0.6527435985841513,2.304755974113528,0.8459685802335033
ACGL,0.008089859213654118,1.4710390471570252,0.214560750964223,131.0,0.6213421572744713,3.735483131103105,5.916942265929663,2.251448194951388,-2.1548820872168593,-0.5708902613699657
ACN,0.000816605144860022,0.23487601722228063,0.6386507571652615,131.0,1.28043257985767,12.176318505601385,-0.5841829856117444,-0.35160646824646685,4.612125201302087,1.932740454006835
ADBE,0.005381210136350121,0.9560150257707145,0.46131839380754625,131.0,1.401915829978187,8.234541598881375,-4.07307833475677,-1.5142197937880326,6.4719966834243285,1.6752087746830098
ADI,0.003355110869186312,0.6502412775949639,0.44105470732446017,131.0,1.0774759869435255,6.9041144315690195,-1.8942979439115981,-0.768240744761078,-2.878982371978644,-0.8129288781222552
ADM,-0.006091910155748274,-1.1229351719263778,0.30154389688548355,131.0,1.0367063784355086,6.3181464342996545,7.68764411830976,2.9653492816842317,5.443159233815993,1.4618342095237777
ADSK,0.0023578905887030295,0.35803565512540536,0.46069509890119764,131.0,1.654148048519546,8.304428068244729,1.0310599160319747,0.3276181263348733,3.642475374009005,0.8058331699475559
AEE,0.0033052771228015334,0.8015962605354109,0.18053001386327672,131.0,0.3626382891376392,2.9077307116985756,-4.89827017101793,-2.4858328914976546,-0.8711617645865006,-0.30781692633675084
AEP,0.0029439047925511968,0.6751430463152706,0.20434717857531248,131.0,0.22830121750701682,1.731063453211254,-7.938516324013656,-3.8097174772510365,-4.964147589471754,-1.6586800073070858
AES,-0.005966862000930742,-0.8394191379016843,0.24598660353664126,131.0,0.8921170061203795,4.149420158687156,-0.8518662226073523,-0.25077582091027706,-4.844008221445239,-0.9928499785796752
AFL,0.002644966932061144,0.6275974497766686,0.41763634454926646,131.0,0.789635772400585,6.194702577160501,0.3099130111781756,0.15387998059556457,-4.203165750693332,-1.4530592603491443
AIG,-0.0021711325792903324,-0.4006509654301683,0.4737803858807593,131.0,0.8662829483815343,5.285332778727548,6.600808533353304,2.5489327335325886,-11.436423586912971,-3.0747935996139812
AIZ,0.004920986195021672,0.9668759991745123,0.16723112073421842,131.0,0.5262166425793001,3.418345329288056,-0.7126420834330119,-0.2930026092720068,-1.853650559628457,-0.5306307165256569
AJG,0.007992393926325237,2.023234854302547,0.38489405456690207,131.0,0.6985005003706131,5.8461352702838685,1.0654670845669534,0.5644049892892089,-3.473616483098041,-1.2811417089914363
AKAM,0.0001422763892898495,0.02023062158845251,0.13633011482458834,131.0,0.8184000735272952,3.8474658430528024,-0.5540520231072176,-0.16485735451984473,5.773344662640027,1.1960511786751127
ALB,-0.005400182806480522,-0.588845777495917,0.33185838441593796,131.0,1.554852383753898,5.605508155419184,1.5073286089500406,0.34393980063708596,-3.749646167711145,-0.5957023011231154
ALGN,0.0031940560510130152,0.32960233848782433,0.3495800662549384,131.0,1.592752691252028,5.434114941966469,-9.522363488850166,-2.0562404407419206,-3.308695245023963,-0.4974511108640894
ALL,0.006213051313455882,1.359722753324066,0.2451495112073998,131.0,0.4861219373476033,3.5174130144695956,1.595566095736019,0.7307042168652043,-5.333543046072465,-1.7006193475021825
ALLE,-0.0019987211243540923,-0.440364833695667,0.49821794818620235,131.0,1.2033315410973315,8.765535430998419,-0.2623035409309194,-0.12093331857240032,2.013379636398653,0.6462967707014868
AMAT,0.0067371557968001075,0.9960312075372739,0.45820812896133367,131.0,1.6322096333513423,7.978201736793152,0.17667145639466927,0.05465679154930175,1.5956986374037585,0.34371075047861344
AMCR,-0.006544640812516117,-1.3889013422113423,0.31161086082299216,131.0,0.8117533224356593,5.695637984756711,0.10029992153817363,0.04454177956697678,0.01496405616758747,0.0046268007519127165
AMD,0.019630061843695378,1.6381965827431193,0.32731341190879415,131.0,2.1483285030330714,5.927584584295269,-7.026427043437767,-1.2270444030194834,4.987943684950769,0.6064734258278258
AME,-0.0003340572029864665,-0.09985468955378533,0.6643466215535347,131.0,1.2442629368482905,12.296811387619133,3.256055439548674,2.0366706543021924,1.0198326876912052,0.4441426092959184
AMGN,-0.0009292930119584203,-0.1652566274351703,0.22068212519490427,131.0,0.9047352340445718,5.319372936922639,1.3494554475765925,0.5021646701148103,6.052745321963914,1.568211019666102
AMP,0.0015623471675316255,0.3379973913834603,0.640000398227986,131.0,1.4819726569368237,10.60006958983972,7.5674852850609335,3.4258534342977334,-2.9353532351882223,-0.9252137141446101
AMT,0.002120323864969761,0.4695798701642803,0.4020790424672618,131.0,0.5435279011875235,3.979805375813625,-12.080090770411225,-5.598334670868408,-3.1047039804654815,-1.001782301847692
AMZN,0.008872659905886312,1.4389391142430719,0.41270134305341377,131.0,1.4697217041575383,7.880547883206739,-1.9860243239015534,-0.6739916806548693,8.771398023688759,2.072541751079921
AON,0.004604425831260163,1.0834481381553402,0.4125176921262024,131.0,0.8398911873719253,6.534139345511183,-0.4283325016111771,-0.21090897705011022,-2.441429514026384,-0.8369947286202275
AOS,-0.0033001334171882724,-0.6912296238382193,0.544095652725421,131.0,1.48703628376837,10.29781609201912,-1.736723066668697,-0.7612070584343963,8.756983605473424,2.6723372639169414
APD,0.003062670321292015,0.6766373005945309,0.3775666578844157,131.0,0.6667413892193021,4.8701890774709025,-4.606671212482538,-2.1297287408003185,-6.327767382679301,-2.0368173101106146
APH,0.005264821003557751,1.6507081935266628,0.6787527784407825,131.0,1.0872658120891592,11.270810567023876,0.26109674637952207,0.17130480556036934,-3.522389118638933,-1.6090513866691156
APO,0.004042501619390296,0.6166718726271841,0.46875131618602583,131.0,1.3570712043170194,6.844461648219985,-2.675160213650327,-0.8539552717863838,-6.9208789291897626,-1.5381938688238883
APTV,-0.008508884571586531,-1.2629935009092403,0.542707101128239,131.0,1.6334963215477762,8.01639975248958,-1.1276543059551678,-0.35025621956245523,-8.169634093721541,-1.766757630250242
ARE,-0.0034220504792419875,-0.8491863034417217,0.5592528399976268,131.0,0.7744140116991296,6.353638377190924,-10.929014024967184,-5.675170873096721,-6.811800709909389,-2.4627730314648875
ATO,0.003275687294839313,0.8108992288042844,0.2914837505495962,131.0,0.5569370405641872,4.558303894053524,-5.854436864045004,-3.0327105890375132,2.1621370436693663,0.7798185382097282
AWK,0.0049317823265527415,1.1899031727720286,0.3577930863931882,131.0,0.4014180939433554,3.2021184180575912,-11.123120128549239,-5.615853111945169,-1.648431016822652,-0.5794612336928906
AXP,0.0008743191474786062,0.1855662075956535,0.4992956310829907,131.0,1.1464079519493953,8.044532565478162,2.8646528938250633,1.2722788247134873,-2.284256197386484,-0.7063494333356998
GOOG,0.007013893920235872,1.4548066144883123,0.39114598770989195,131.0,0.9504721379824955,6.518057477617775,-1.6288466351711675,-0.7069808634613951,-0.8330688633788024,-0.2517519614606095
GOOGL,0.006865817198842748,1.4191030486157559,0.3888777777080089,131.0,0.9572938916658703,6.541836809080569,-1.6221072168469877,-0.7015887928515459,-0.5155739231516691,-0.1552596227885404
LNT,0.00287877985370527,0.7030647135567567,0.25296978728523356,131.0,0.3914266044369841,3.160602714007766,-7.009760583438075,-3.5823781012732,-1.8099975495142784,-0.6440368543758612
MMM,-0.007267329530069102,-1.595789464606247,0.42390108964475837,131.0,1.081465219732839,7.851380386918492,-0.21682634333332573,-0.09963092803091517,3.6782150400368265,1.1767487417885114
MO,-0.00327322931309504,-0.6167813386816784,0.19092518809430847,131.0,0.8019271841700608,4.996000241341791,4.1564859217441805,1.6389378951368432,5.734250706848256,1.57426324803715
T,-0.004583590105313097,-0.9668590280947121,0.177713206180953,131.0,0.46383879520219173,3.234872553293207,-0.7641832306825306,-0.3373154833972305,-3.206115373361815,-0.9853316128362324
ADP,0.003947883449625099,0.951651662434784,0.37810568707024905,131.0,0.8719639309420526,6.949361916125075,1.4679605217936966,0.7404733857402561,1.403152396121484,0.49279287105562597
AVB,-8.996095618079643e-05,-0.02351473611139771,0.4779898244064831,131.0,0.554549120491074,4.792463224050282,-7.884223332375699,-4.312472652691298,-8.972233889346251,-3.416901971134208
AVGO,0.022200930656929165,3.05262081065973,0.23635606170202839,131.0,1.0782638307823582,4.901843475495296,0.6966908670824112,0.20045790508833108,1.5238004804386263,0.3052640578493076
AVY,0.001829347092025792,0.40871301064330956,0.44856724820262406,131.0,1.0492878437665853,7.750856771524417,-0.7748450400688701,-0.3622585092888561,0.9879591705397642,0.3215934775214025
AXON,0.027589057284635496,2.216544988348329,0.09616268644168668,131.0,0.9649947111530915,2.5632876446436987,-4.896060871557354,-0.8231289717405071,0.07030625597817158,0.008229615543057232
AZO,0.009235999257142665,1.8055193556663975,0.23666607721893207,131.0,0.6538495143728544,4.2259931261646315,1.9878754214294991,0.8131839774950284,-2.5766975147775697,-0.7338842787180797
BA,-0.0018156670000411873,-0.223906691821328,0.3374169967394912,131.0,1.0417586494701299,4.247473809582772,-4.867371627481511,-1.2560495406244976,-12.955990007190172,-2.3278091126241494
BAC,-0.0029165922996955192,-0.6041714368297595,0.6049303398864019,131.0,1.4232190369571154,9.747403187399794,9.861444779803806,4.274707483682221,-2.3171549775049494,-0.6993352713442379
BALL,-3.88161965885127e-06,-0.000720061187800684,0.315410601631232,131.0,0.8037786047207444,4.929757849415934,-6.649035365310566,-2.581050229845265,-0.22863381069360053,-0.06179349584061474
BAX,-0.0071386882888249455,-1.2908580973510435,0.2216005673556286,131.0,0.7052040261626412,4.216067827822672,-4.4312459157395905,-1.676746183222888,1.523385550109055,0.40134310181274957
BBY,0.0022377483229017122,0.32380707044115226,0.38427078420252814,131.0,1.2383291997835628,5.924393850161611,-0.1059463919337957,-0.032080612246145744,-5.445512077219879,-1.1480470825374018
BDX,0.00017772000322097812,0.04055092348136877,0.24112413795852838,131.0,0.6648611939845972,5.015660627342819,-0.5821665166826284,-0.2779668782194292,1.683653832884115,0.5597100775849996
BF-B,-0.004201589143623114,-0.911739260307787,0.30501853542952384,131.0,0.7089422815685604,5.086284799366447,-4.089898852257857,-1.8571673132065822,-0.2931625016776921,-0.09268541090293347
BG,-0.0052142881620880705,-0.8201229160532347,0.21682229594950286,131.0,0.8030928647150031,4.176210757950688,6.848241917434445,2.2539506459764893,-0.48044811221646067,-0.1100972057300284
BIIB,-0.006433370609781636,-0.7742059228995762,0.0216201771348139,131.0,0.41012861188081046,1.6318142016043224,2.5065553376781424,0.6312139750051442,4.457280277189337,0.7815085775000761
BK,-0.0017456906007284453,-0.40378253943617626,0.505512166370763,131.0,1.0743163441744839,8.215711228782341,5.286906037182161,2.558958501757273,-1.4185545828156467,-0.4780487634232672
BKNG,0.0022224318306122842,0.3703022171095353,0.4326155822662259,131.0,1.309369591785596,7.213114665277135,2.9857746499652302,1.0410372747372498,-1.4969149670336155,-0.3633882504202421
BKR,-0.005303983510598113,-0.6046509532913974,0.32040057662882515,131.0,0.9448153391132855,3.561084128132902,7.43819449088019,1.7743998672746846,-14.963961742821752,-2.485392894557865
BLDR,0.01617301861453354,1.3366688683026964,0.31528201779540654,131.0,1.8687118158585991,5.106317326198896,-4.085781497247345,-0.7066254481417897,-7.075312611520574,-0.851969929660387
BLK,-0.0017884024777362645,-0.47848985687425083,0.6744639588728916,131.0,1.4158467989481205,12.524386398949268,-0.060216135335891575,-0.03371333700486174,1.6304139123074708,0.6355522083334849
BMY,-0.004056945880783486,-0.6981444333247152,0.1251815399375802,131.0,0.677722091237681,3.855941434408759,1.636988234929685,0.5894853454650874,4.872789944011482,1.2217142569700816
BR,0.007321744032187889,1.771608985250394,0.4758486709272768,131.0,0.8312739542211058,6.650131408709474,-5.896123131400748,-2.985391325659894,-3.4243167757755897,-1.2071831151996488
BRK-B,0.0021990735281441354,0.724919811479739,0.562438630686369,131.0,0.9631973052157022,10.497797682154303,2.4900358569867733,1.7176600269365854,2.815947360271867,1.3524481893072036
BRO,0.008508830813144892,2.0479220671155236,0.36015664919055257,131.0,0.6957463533923516,5.536396655930198,-1.8551543821235026,-0.9343400898881646,-3.050745831753347,-1.0697824044225361
BSX,0.00855861810689027,1.8345537009004307,0.3001530321085537,131.0,0.737835485508967,5.2290048018977995,0.07830485913012947,0.03512342696087215,-1.5932388468862475,-0.4975692743858536
BX,0.00393642158055092,0.7008439150583561,0.5324732163670906,131.0,1.3203500753899764,7.77215618030144,-7.709123013972977,-2.8721430619687434,-4.08601787158656,-1.0599023408248642
BXP,-0.007908305953812972,-1.4045276674766145,0.39620986807038716,131.0,0.7744379833463949,4.547431887631977,-7.323372947709991,-2.7216945085402835,-10.234434983546228,-2.6482354436325006
CAH,-0.0032044914813990615,-0.5584211561811642,0.2737440561074026,131.0,0.9975028729762364,5.747111444968172,6.357525202623861,2.318313809889905,3.834090645820707,0.9734440722887987
CAT,6.728372453325085e-05,0.011626939336311017,0.42805020381032954,131.0,1.4141363226789374,8.079405050114724,5.936292042836026,2.146604475844453,4.583141677191511,1.1538903772495313
CB,0.003218849818742051,0.7621745801357346,0.314800171648399,131.0,0.5991842564930515,4.690799402825682,1.778518676405291,0.8812387091624245,-4.22810026490272,-1.4586292220713069
